Symbol,Name,Index
A44.F,AENA,IBEX 35
AA9.F,Alfa Laval,OMX Stockholm 30
AAD.F,Amadeus FiRe AG,SDAX
AAF.L,Airtel Africa,FTSE 100
AAL.L,Anglo American plc,FTSE 100
ABF.L,Associated British Foods,FTSE 100
ABJ.F,ABB,CAC Mid 60
ABN.AS,ABN AMRO,AEX
AC.PA,Accor,CAC_40
ACO.F,Atlas Copco,OMX Stockholm 30
ACS.MC,ACS Group,IBEX 35
ACX.MC,Acerinox,IBEX 35
AD.AS,Ahold Delhaize,EURO STOXX 50
ADDT-B.ST,Addtech,OMX Stockholm 30
ADM.L,Admiral Group,FTSE 100
ADN1.F,Adesso SE,SDAX
ADS.F,Adidas,EURO STOXX 50
ADYEN.AS,Adyen,EURO STOXX 50
AFX.F,Carl Zeiss Meditec,MDAX
AGN.AS,Aegon N.V.,AEX
AIL.F,Air Liquide,EURO STOXX 50
AIR.MC,Airbus,EURO STOXX 50
AIX.F,Aixtron,MDAX
AKZA.AS,AkzoNobel,AEX
ALV.F,Allianz,EURO STOXX 50
ALW.L,Alliance Witan,FTSE 100
ALZC.F,Assa Abloy,OMX Stockholm 30
AMS.MC,Amadeus IT Group,IBEX 35
AN3.F,ALTEN,CAC Mid 60
ANA.MC,Acciona,IBEX 35
ANE.MC,Acciona Energía,IBEX 35
ANTO.L,Antofagasta plc,FTSE 100
AOF.F,Atoss,SDAX
AOO.F,Aedifica,BEL 20
APAM.AS,Aperam,CAC Mid 60
APG.MC,Partners Group,Switzerland 20
ASM.AS,ASM International,AEX
ASML.AS,ASML Holding,EURO STOXX 50
AT1.F,Aroundtown SA,MDAX
AUTO.L,Autotrader Group,FTSE 100
AXA.F,Axa,EURO STOXX 50
AYJ.F,Valneva,CAC Mid 60
AZN.L,AstraZeneca,FTSE 100
B3K.F,Ackermans & van Haaren,BEL 20
BA.L,BAE Systems,FTSE 100
BAB.L,Babcock International,FTSE 100
BARC.L,Barclays,FTSE 100
BAS.F,BASF,EURO STOXX 50
BATS.L,British American Tobacco,FTSE 100
BAYA.F,Bayer,EURO STOXX 50
BBOX.L,Tritax Big Box REIT,FTSE 100
BBVA.MC,Banco Bilbao Vizcaya Argentaria,EURO STOXX 50
BC8.F,Bechtle AG,MDAX
BDEV.L,Barratt Redrow,FTSE 100
BEI.F,Beiersdorf,DAX
BESI.AS,Besi,AEX
BEZ.L,Beazley plc,FTSE 100
BFSA.MC,Befesa,MDAX
BIF.F,BIC Group,CAC Mid 60
BKG.L,Berkeley Group Holdings,FTSE 100
BKT.MC,Bankinter,IBEX 35
BLND.L,British Land,FTSE 100
BMW.F,BMW,EURO STOXX 50
BNP.F,BNP Paribas,EURO STOXX 50
BNR.F,Brenntag,DAX
BNZL.L,Bunzl,FTSE 100
BOP.F,Bolloré,CAC Mid 60
BOSA.F,Hugo Boss,MDAX
BP.L,BP,FTSE 100
BRBY.L,Burberry,FTSE 100
BSN.F,Danone,EURO STOXX 50
BVI.PA,Bureau Veritas,CAC_40
BWJ.F,Boliden AB,OMX Stockholm 30
BYG.F,Bouygues,CAC_40
BYN.F,Rubis SCA,CAC Mid 60
C1C.F,Cargotec,OMX Helsinki 25
CABK.MC,CaixaBank,IBEX 35
CAP.F,Encavis,MDAX
CAR.F,Carrefour,CAC_40
CBK.F,Commerzbank,DAX
CCH.L,Coca-Cola HBC,FTSE 100
CGM.F,Capgemini,CAC_40
CLNX.MC,Cellnex Telecom,IBEX 35
CNA.L,Centrica,FTSE 100
COD.L,Saint-Gobain,EURO STOXX 50
COF.F,Cofinimmo,BEL 20
COK.F,Cancom,SDAX
COL.MC,Inmobiliaria Colonial,IBEX 35
CON.F,Continental AG,DAX
COP.F,CompuGroup Medical,TecDAX
CPG.L,Compass Group,FTSE 100
CRDA.L,Croda International,FTSE 100
CSF.F,Thales Group,CAC_40
CTEC.L,Convatec,FTSE 100
CUX1.F,Carmila,CAC Mid 60
CWC.F,Cewe,SDAX
DAU.F,Dassault Aviation,CAC Mid 60
DB1.F,Deutsche Börse,EURO STOXX 50
DBK.F,Deutsche Bank,EURO STOXX 50
DCC.L,DCC plc,FTSE 100
DCS.F,JCDecaux,CAC Mid 60
DEZ.F,Deutz AG,SDAX
DGE.L,Diageo,FTSE 100
DHER.F,Delivery Hero,MDAX
